Feature,Importance
Chan_5_SSC,0.11357999999999994
Chan_4_SSC,0.06477999999999995
Chan_3_SSC,0.06376999999999995
Chan_1_SSC,0.05692999999999994
Chan_5_WL,0.05440999999999994
Chan_4_WL,0.05338999999999995
Chan_2_SSC,0.04359999999999997
Chan_3_MAV,0.04124999999999993
Chan_2_MAV,0.040929999999999946
Chan_5_ZC,0.040859999999999966
Chan_1_WL,0.040709999999999955
Chan_5_MAV,0.03984999999999994
Chan_2_WL,0.03927999999999995
Chan_4_SSI,0.038489999999999955
Chan_4_RMS,0.038489999999999955
Chan_4_VAR,0.038489999999999955
Chan_3_SSI,0.03536999999999996
Chan_3_VAR,0.03536999999999996
Chan_3_RMS,0.03536999999999996
Chan_3_WL,0.03461999999999995
Chan_5_WAMP,0.029889999999999927
Chan_4_MAV,0.02859999999999996
Chan_4_ZC,0.026899999999999945
Chan_2_VAR,0.02594999999999994
Chan_2_RMS,0.02594999999999994
Chan_2_SSI,0.02594999999999994
Chan_1_RMS,0.025899999999999944
Chan_1_VAR,0.025899999999999944
Chan_1_SSI,0.025899999999999944
Chan_1_MAV,0.025379999999999958
Chan_1_ZC,0.024339999999999952
Chan_3_WAMP,0.022589999999999943
Chan_2_ZC,0.021599999999999953
Chan_3_ZC,0.01911999999999996
Chan_2_WAMP,0.017499999999999915
Chan_4_WAMP,0.014739999999999942
Chan_5_VAR,0.012149999999999972
Chan_5_RMS,0.012149999999999972
Chan_5_SSI,0.012149999999999972
Chan_1_WAMP,0.011319999999999964
